"X.1","X","EventDate","Region","EventName","RunTime","AgeCategory","Sex","AgeGrading","RunTimeSeconds","RunTimeHours","AverageSpeed","Time","Type","met_domain_name","version_num","src_id","WindDirection","WindSpeed","Temp","WetBulb","RH","RunTimeMinutes"
15,15,"08/01/2011","Greater London","bedfont","00:36:17","VM65-69","M","0.462103813",2177,0.604722222,8.268259072,"09:00:00"," WMO"," SYNOP",1,708,230,18,10,8.9,85.8,36.28333333
986,986,"09/04/2011","Greater London","bedfont","00:31:49","VM65-69","M","0.526977475",1909,0.530277778,9.42902043,"09:00:00"," WMO"," SYNOP",1,708,60,6,14.7,10.5,55.3,31.81666667
1078,1078,"16/04/2011","Greater London","bedfont","00:29:45","VM65-69","M","0.563585434",1785,0.495833333,10.08403361,"09:00:00"," WMO"," SYNOP",1,708,190,3,12.3,9.9,71.6,29.75
1168,1168,"23/04/2011","Greater London","bedfont","00:30:10","VM65-69","M","0.555801105",1810,0.502777778,9.944751381,"09:00:00"," WMO"," SYNOP",1,708,40,2,20.4,14.8,51.4,30.16666667
1259,1259,"30/04/2011","Greater London","bedfont","00:30:20","VM65-69","M","0.552747253",1820,0.505555556,9.89010989,"09:00:00"," WMO"," SYNOP",1,708,70,12,16.1,12.1,59.5,30.33333333
1452,1452,"14/05/2011","Greater London","bedfont","00:29:23","VM65-69","M","0.593306863",1763,0.489722222,10.20986954,"09:00:00"," WMO"," SYNOP",1,708,280,11,13.5,9.1,51.6,29.38333333
1554,1554,"21/05/2011","Greater London","bedfont","00:29:55","VM65-69","M","0.560445682",1795,0.498611111,10.02785515,"09:00:00"," WMO"," SYNOP",1,708,210,10,17.2,12.6,55.2,29.91666667
1611,1611,"28/05/2011","Greater London","bedfont","00:26:45","VM70-74","M","0.66728972",1605,0.445833333,11.21495327,"09:00:00"," WMO"," SYNOP",1,708,230,13,13.7,11.2,71.9,26.75
1860,1860,"11/06/2011","Greater London","bedfont","00:27:29","VM65-69","M","0.634323833",1649,0.458055556,10.91570649,"09:00:00"," WMO"," SYNOP",1,708,260,7,11.7,9.8,76.9,27.48333333
1979,1979,"25/06/2011","Greater London","bedfont","00:27:15","VM75-79","M","0.70764526",1635,0.454166667,11.00917431,"09:00:00"," WMO"," SYNOP",1,708,240,14,17.1,15.8,86.6,27.25
1988,1988,"25/06/2011","Greater London","bedfont","00:22:53","VM65-69","M","0.739985433",1373,0.381388889,13.10997815,"09:00:00"," WMO"," SYNOP",1,708,240,14,17.1,15.8,86.6,22.88333333
2236,2236,"09/07/2011","Greater London","bedfont","00:31:52","VM65-69","M","0.526150628",1912,0.531111111,9.414225941,"09:00:00"," WMO"," SYNOP",1,708,230,12,17.6,14.3,67.8,31.86666667
2291,2291,"16/07/2011","Greater London","bedfont","00:34:01","VM70-74","M","0.53944145",2041,0.566944444,8.819206271,"09:00:00"," WMO"," SYNOP",1,708,190,11,16.9,15.8,88.7,34.01666667
2325,2325,"16/07/2011","Greater London","bedfont","00:30:39","VM65-69","M","0.547036433",1839,0.510833333,9.787928222,"09:00:00"," WMO"," SYNOP",1,708,190,11,16.9,15.8,88.7,30.65
2385,2385,"23/07/2011","Greater London","bedfont","00:21:34","VM65-69","M","0.792117465",1294,0.359444444,13.91035549,"09:00:00"," WMO"," SYNOP",1,708,320,9,14.7,11,60.5,21.56666667
2421,2421,"23/07/2011","Greater London","bedfont","00:30:32","VM65-69","M","0.549126638",1832,0.508888889,9.825327511,"09:00:00"," WMO"," SYNOP",1,708,320,9,14.7,11,60.5,30.53333333
2428,2428,"23/07/2011","Greater London","bedfont","00:28:47","VM65-69","M","0.60567458",1727,0.479722222,10.42269832,"09:00:00"," WMO"," SYNOP",1,708,320,9,14.7,11,60.5,28.78333333
2518,2518,"30/07/2011","Greater London","bedfont","00:29:37","VM65-69","M","0.566122679",1777,0.493611111,10.12943163,"09:00:00"," WMO"," SYNOP",1,708,10,7,16,11.9,58.2,29.61666667
2545,2545,"06/08/2011","Greater London","bedfont","00:39:01","VM70-74","M","0.477573686",2341,0.650277778,7.689021786,"09:00:00"," WMO"," SYNOP",1,708,240,7,17.1,14.2,71.1,39.01666667
2611,2611,"06/08/2011","Greater London","bedfont","00:30:45","VM65-69","M","0.545257453",1845,0.5125,9.756097561,"09:00:00"," WMO"," SYNOP",1,708,240,7,17.1,14.2,71.1,30.75
2643,2643,"13/08/2011","Greater London","bedfont","00:39:23","VM70-74","M","0.47312738",2363,0.656388889,7.617435463,"09:00:00"," WMO"," SYNOP",1,708,240,10,18.7,17.5,88.3,39.38333333
2789,2789,"20/08/2011","Greater London","bedfont","00:30:29","VM65-69","M","0.550027337",1829,0.508055556,9.841443412,"09:00:00"," WMO"," SYNOP",1,708,180,5,18.3,15.8,75.7,30.48333333
2820,2820,"27/08/2011","Greater London","bedfont","00:38:07","VM70-74","M","0.488850022",2287,0.635277778,7.870572803,"09:00:00"," WMO"," SYNOP",1,708,280,8,15.2,13,76.4,38.11666667
2901,2901,"27/08/2011","Greater London","bedfont","00:29:25","VM65-69","M","0.592634561",1765,0.490277778,10.19830028,"09:00:00"," WMO"," SYNOP",1,708,280,8,15.2,13,76.4,29.41666667
2923,2923,"03/09/2011","Greater London","bedfont","00:38:59","VM70-74","M","0.477982044",2339,0.649722222,7.695596409,"09:00:00"," WMO"," SYNOP",1,708,210,10,18.1,15.9,78.4,38.98333333
2996,2996,"03/09/2011","Greater London","bedfont","00:31:24","VM65-69","M","0.533970276",1884,0.523333333,9.554140127,"09:00:00"," WMO"," SYNOP",1,708,210,10,18.1,15.9,78.4,31.4
3105,3105,"10/09/2011","Greater London","bedfont","00:28:36","VM65-69","M","0.60955711",1716,0.476666667,10.48951049,"09:00:00"," WMO"," SYNOP",1,708,190,12,21.3,19.8,86.4,28.6
3150,3150,"17/09/2011","Greater London","bedfont","00:37:37","VM70-74","M","0.480726628",2257,0.626944444,7.975188303,"09:00:00"," WMO"," SYNOP",1,708,220,14,15.6,13.6,78.8,37.61666667
3157,3157,"17/09/2011","Greater London","bedfont","00:22:40","VM70-74","M","0.7875",1360,0.377777778,13.23529412,"09:00:00"," WMO"," SYNOP",1,708,220,14,15.6,13.6,78.8,22.66666667
3212,3212,"17/09/2011","Greater London","bedfont","00:31:25","VM65-69","M","0.533687003",1885,0.523611111,9.549071618,"09:00:00"," WMO"," SYNOP",1,708,220,14,15.6,13.6,78.8,31.41666667
